Use case Name,Description,Log Source,MITRE Tactics,MITRE Technique,SPL
Process Creating LNK file in Suspicious Location,The following analytic detects a process creating a .lnk file in suspicious locations such as C:\User* or *\Local\Temp\*. It leverages filesystem and process activity data from the Endpoint data model to identify this behavior. This activity can be significant because creating .lnk files in these directories is a common indicator of spear phishing tools to establish persistence or execute malicious payloads.,Windows Events,"Initial Access, Persistence","T1566, T1566.002","| tstats `security_content_summariesonly`
count min(_time) as firstTime
max(_time) as lastTime
FROM datamodel=Endpoint.Filesystem where
Filesystem.action=""created""
Filesystem.file_name=""*.lnk""
Filesystem.file_path IN (
""*:\\AppData\\Local\\Temp\\*"",
""*:\\Temp\\*"",
""*:\\Users\\*"",
""*:\\Windows\\Temp\\*""
)
NOT Filesystem.file_path IN (
""*\\AppData\\Local\\Microsoft\\Windows\\WinX\\*"",
""*\\AppData\\Roaming\\Microsoft\\Excel\\*"",
""*\\AppData\\Roaming\\Microsoft\\Internet Explorer\\Quick Launch\\*"",
""*\\AppData\\Roaming\\Microsoft\\Office\\Recent\\*"",
""*\\AppData\\Roaming\\Microsoft\\Windows\\Recent\\*"",
""*\\AppData\\Roaming\\Microsoft\\Windows\\Start Menu\\*"",
""*\\AppData\\Roaming\\Microsoft\\Word\\*"",
""*\\Links\\*"",
""*\\OneDrive *""
)
by Filesystem.action Filesystem.dest Filesystem.file_access_time
Filesystem.file_create_time Filesystem.file_hash
Filesystem.file_modify_time Filesystem.file_name
Filesystem.file_path Filesystem.file_acl Filesystem.file_size
Filesystem.process_guid Filesystem.process_id
Filesystem.user Filesystem.vendor_product
| `drop_dm_object_name(Filesystem)`
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`
| `process_creating_lnk_file_in_suspicious_location_filter`"
Windows Chromium Browser Launched with Small Window Size,"The following analytic detects instances where a Chromium-based browser process, including Chrome, Edge, Brave, Opera, or Vivaldi, is launched with an unusually small window size, typically less than 100 pixels in width or height. Such configurations render the browser effectively invisible to the user and are uncommon in normal user activity. When observed on endpoints, especially in combination with automation, off-screen positioning, or suppression flags, this behavior may indicate attempts to execute web content or automated actions stealthily, bypassing user interaction and security controls.",Windows Events,Defense Evasion,T1497,"| tstats `security_content_summariesonly` min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes 
where Processes.process_name IN (""Chrome.exe"",""Brave.exe"", ""Opera.exe"", ""Vivaldi.exe"", ""msedge.exe"")
Processes.process = ""*--window-size*""
by Processes.action Processes.dest Processes.original_file_name Processes.parent_process
Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id
Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec
Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level
Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product
| rex field=Processes.process ""--window-size=(?<window_width>\d+)\s*,\s*(?<window_height>\d+)""
| eval window_width=tonumber(window_width), window_height=tonumber(window_height)
| where window_height < 100 AND window_width < 100
| `drop_dm_object_name(Processes)`
| fields * window_width window_height
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `windows_chromium_browser_launched_with_small_window_size_filter`"
Windows Chromium process Launched with Disable Popup Blocking,"The following analytic detects instances where a Windows Chromium-based browser process is launched with the --disable-popup-blocking flag. This flag is typically used to bypass the browser’s built-in pop-up protections, allowing automatic execution of pop-ups or redirects without user interaction. While legitimate in some testing or automation scenarios, its presence on endpoints, particularly when combined with other automation or concealment flags, may indicate attempts by malicious actors to execute web-based content stealthily or evade user interaction controls, representing a potential security risk that warrants investigation.",Windows Events,"Execution, Defense Evasion",T1497,"| tstats `security_content_summariesonly` min(_time) as firstTime max(_time)
as lastTime from datamodel=Endpoint.Processes 
where Processes.process_name IN (""Chrome.exe"",""Brave.exe"", ""Opera.exe"", ""Vivaldi.exe"", ""msedge.exe"")
Processes.process = ""*--disable-popup-blocking*"" 
by Processes.action Processes.dest Processes.original_file_name Processes.parent_process 
Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id
Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec
Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level
Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`
| `windows_chromium_process_launched_with_disable_popup_blocking_filter`"
Windows Chromium Process Launched with Logging Disabled,"The following analytic detects instances of Chromium-based browser processes on Windows launched with logging disabled via command-line arguments such as --disable-logging and --disable-logging-redirect. The --disable-logging flag forces browser logging to be disabled, while --disable-logging-redirect disables log redirection and is commonly used for testing or debugging scenarios. Logging is enabled by default in Chromium debug builds, making these flags more likely to appear in debug or development environments.",Windows Events,"Execution, Defense Evasion",T1497,"| tstats `security_content_summariesonly` min(_time) as firstTime max(_time)
as lastTime from datamodel=Endpoint.Processes 
where Processes.process_name IN (""Chrome.exe"",""Brave.exe"", ""Opera.exe"", ""Vivaldi.exe"", ""msedge.exe"")
Processes.process = ""*--disable-logging*"" 
by Processes.action Processes.dest Processes.original_file_name Processes.parent_process
Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id
Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec
Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level
Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `windows_chromium_process_launched_with_logging_disabled_filter`"
Windows Chromium Process with Disabled Extensions,"The following analytic detects instances of Chromium-based browser processes on Windows launched with extensions explicitly disabled via command-line arguments. Disabling extensions can be used by automation frameworks, testing tools, or headless browser activity, but may also indicate defense evasion or abuse of browser functionality by malicious scripts or malware. This behavior reduces browser visibility and bypasses user-installed security extensions, making it relevant for detecting non-interactive execution, suspicious automation, or living-off-the-land techniques.",Windows Events,"Execution, Defense Evasion",T1497,"| tstats `security_content_summariesonly` min(_time) as firstTime max(_time)
as lastTime from datamodel=Endpoint.Processes 
where Processes.process_name IN (""Chrome.exe"",""Brave.exe"", ""Opera.exe"", ""Vivaldi.exe"", ""msedge.exe"")
Processes.process = ""*--disable-extensions*"" 
by Processes.action Processes.dest Processes.original_file_name Processes.parent_process
Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id
Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec
Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level
Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `windows_chromium_process_with_disabled_extensions_filter`"
Windows Registry Delete Task SD,"The following analytic detects a process attempting to delete a scheduled task's Security Descriptor (SD) from the registry path of that task. It leverages the Endpoint.Registry data model to identify registry actions performed by the SYSTEM user, specifically targeting deletions of the SD value. This activity is significant as it may indicate an attempt to remove evidence of a scheduled task for defense evasion.",Windows Events,"Execution, Persistence, Defense Evasion","T1053.005, T1562","| tstats `security_content_summariesonly`
count min(_time) as firstTime
max(_time) as lastTime
FROM datamodel=Endpoint.Registry where
Registry.registry_path IN (""*\\Schedule\\TaskCache\\Tree\\*"")
Registry.user=""SYSTEM""
(
Registry.registry_value_name=""SD""
OR
Registry.registry_key_name=""SD""
)
Registry.action=deleted
by Registry.action Registry.dest Registry.process_guid
Registry.process_id Registry.registry_hive
Registry.registry_path Registry.registry_key_name
Registry.registry_value_data Registry.registry_value_name
Registry.registry_value_type Registry.status Registry.user
Registry.vendor_product
| `drop_dm_object_name(Registry)`
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`
| `windows_registry_delete_task_sd_filter`"
PaperCut NG Remote Web Access Attempt,"The following analytic detects potential exploitation attempts on publicly accessible PaperCut NG servers. It identifies connections from public IP addresses to the server, specifically monitoring URI paths commonly used in proof-of-concept scripts for exploiting PaperCut NG vulnerabilities. This detection leverages web traffic data from the Web datamodel, focusing on specific URI paths and excluding internal IP ranges.",Zscaler Proxy,Initial Access,"T1190, T1133","| tstats `security_content_summariesonly`
count min(_time) as firstTime
max(_time) as lastTime
from datamodel=Web WHERE
Web.url IN (
""/app?service=direct/1/PrinterDetails/printerOptionsTab.tab""
""/app?service=direct/1/PrinterList/selectPrinter&sp=*"",
""/app?service=page/PrinterList"",
""/app?service=page/SetupCompleted""
)
NOT src IN (
""10.0.0.0/8"",
""172.16.0.0/12"",
""192.168.0.0/16"",
""100.64.0.0/10"",
""127.0.0.0/8"",
""169.254.0.0/16"",
""192.0.0.0/24"",
""192.0.0.0/29"",
""192.0.0.8/32"",
""192.0.0.9/32"",
""192.0.0.10/32"",
""192.0.0.170/32"",
""192.0.0.171/32"",
""192.0.2.0/24"",
""192.31.196.0/24"",
""192.52.193.0/24"",
""192.88.99.0/24"",
""224.0.0.0/4"",
""192.175.48.0/24"",
""198.18.0.0/15"",
""198.51.100.0/24"",
""203.0.113.0/24"",
""240.0.0.0/4"",
""::1""
)
by Web.http_user_agent Web.http_method
Web.url,Web.url_length Web.src
Web.dest Web.dest_port
| `drop_dm_object_name(""Web"")`
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`
| `papercut_ng_remote_web_access_attempt_filter`"
Risk Rule for Dev Sec Ops by Repository,"The following analytic identifies high-risk activities within repositories by correlating repository data with risk scores. It leverages findings and intermediate findings created by detections from the Dev Sec Ops analytic stories, summing risk scores and capturing source and user information. The detection focuses on high-risk scores above 100 and sources with more than three occurrences.",Splunk Risk Rule (Multiple Sources),Execution,T1204.003,"| tstats `security_content_summariesonly` min(_time) as firstTime max(_time) as lastTime sum(All_Risk.calculated_risk_score) as sum_risk_score, values(All_Risk.annotations.mitre_attack.mitre_tactic) as annotations.mitre_attack.mitre_tactic, values(All_Risk.annotations.mitre_attack.mitre_technique_id) as annotations.mitre_attack.mitre_technique_id, dc(All_Risk.annotations.mitre_attack.mitre_technique_id) as mitre_technique_id_count values(source) as source, dc(source) as source_count from datamodel=Risk.All_Risk where All_Risk.analyticstories=""Dev Sec Ops"" All_Risk.risk_object_type = ""other"" by All_Risk.risk_object All_Risk.risk_object_type All_Risk.annotations.mitre_attack.mitre_tactic 
| `drop_dm_object_name(All_Risk)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| where source_count > 3 and sum_risk_score > 100 
| `risk_rule_for_dev_sec_ops_by_repository_filter`"
Detect PsExec With accepteula Flag,"The following analytic identifies the execution of PsExec.exe with the accepteula flag in the command line. It leverages data from Endpoint Detection and Response (EDR) agents, focusing on process execution logs and command-line arguments. This activity is significant because PsExec is commonly used by threat actors to execute code on remote systems, and the accepteula flag indicates first-time usage, which could signify initial compromise.",Windows Events,"Lateral Movement, Execution",T1021.002,"| tstats `security_content_summariesonly` values(Processes.process) as process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where ( Processes.process_name IN (""psexec.exe"", ""psexec64.exe"") OR Processes.original_file_name=""psexec.c"" ) Processes.process=*accepteula* by Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product 
| `drop_dm_object_name(Processes)`
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)` 
| `detect_psexec_with_accepteula_flag_filter`"
Windows Event Triggered Image File Execution Options Injection,"The following analytic identifies the creation or modification of Image File Execution Options (IFEO) registry keys, detected via EventCode 3000 in the Application channel. This detection leverages Windows Event Logs to monitor for process names added to IFEO under specific registry paths. This activity is significant as it can indicate attempts to set traps for process monitoring or debugging, often used by attackers for persistence or evasion.",Windows Events,"Execution, Persistence",T1546.012,"`wineventlog_application` EventCode=3000 
| rename param1 AS ""Process"" param2 AS ""Exit_Code"" 
| stats count min(_time) as firstTime max(_time) as lastTime by Process Exit_Code dest 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `windows_event_triggered_image_file_execution_options_injection_filter`"
